currency,withdrawal_fee
ADA,1.000000000000000
ADX,4.100000000000000
AE,1.400000000000000
AION,1.100000000000000
AMB,6.100000000000000
APPC,6.900000000000000
ARK,0.100000000000000
ARN,2.100000000000000
AST,7.700000000000000
BAT,10.000000000000000
BCC,0.001000000000000
BCD,1.000000000000000
BCPT,7.200000000000000
BCX,0.500000000000000
BLZ,7.800000000000000
BNB,0.280000000000000
BNT,0.900000000000000
BRD,5.500000000000000
BTC,0.000500000000000
BTG,0.001000000000000
BTM,5.000000000000000
BTS,1.000000000000000
CDT,68.000000000000000
CHAT,32.600000000000000
CLOAK,0.020000000000000
CMT,23.000000000000000
CND,39.000000000000000
CTR,35.000000000000000
DASH,0.002000000000000
DGD,0.020000000000000
DLT,14.900000000000000
DNT,42.000000000000000
EDO,1.700000000000000
ELF,3.400000000000000
ENG,1.600000000000000
ENJ,27.000000000000000
EOS,0.300000000000000
ETC,0.010000000000000
ETH,0.010000000000000
ETHOS,1.200000000000000
EVX,2.500000000000000
FUEL,42.000000000000000
FUN,87.000000000000000
GAS,0E-15
GNT,6.700000000000000
GRS,0.200000000000000
GTO,7.000000000000000
GVT,0.190000000000000
GXS,0.300000000000000
HCC,0.000500000000000
HSR,0.000100000000000
ICN,2.800000000000000
ICX,1.000000000000000
INS,2.100000000000000
IOST,79.800000000000000
KMD,0.002000000000000
KNC,1.500000000000000
LEND,55.000000000000000
LINK,8.600000000000000
LLT,67.800000000000000
LRC,5.200000000000000
LSK,0.100000000000000
LTC,0.010000000000000
LUN,0.310000000000000
MANA,29.000000000000000
MCO,0.340000000000000
MDA,3.600000000000000
MIOTA,0.500000000000000
MOD,2.000000000000000
MTH,33.000000000000000
MTL,0.900000000000000
NANO,0.010000000000000
NAV,0.200000000000000
NCASH,96.500000000000000
NEBL,0.010000000000000
NEO,0E-15
NULS,1.300000000000000
OAX,5.300000000000000
OMG,0.230000000000000
ONT,0.100000000000000
OST,17.000000000000000
PIVX,0.020000000000000
POA,0.010000000000000
POE,73.000000000000000
POWR,7.400000000000000
PPT,0.180000000000000
QLC,1.000000000000000
QSP,22.000000000000000
QTUM,0.010000000000000
RCN,29.000000000000000
RDN,1.900000000000000
REP,0.100000000000000
REQ,15.200000000000000
RLC,2.800000000000000
RPX,1.000000000000000
SALT,1.100000000000000
SBTC,0.000500000000000
SNGLS,42.000000000000000
SNM,17.000000000000000
SNT,29.000000000000000
STEEM,0.010000000000000
STORJ,3.500000000000000
STORM,63.000000000000000
STRAT,0.100000000000000
SUB,5.400000000000000
SYS,0.001000000000000
TNB,83.000000000000000
TNT,33.000000000000000
TRIG,12.500000000000000
TRX,53.000000000000000
USDT,5.000000000000000
VEN,1.100000000000000
VIA,0.010000000000000
VIB,19.000000000000000
VIBE,13.300000000000000
WABI,3.200000000000000
WAN,0.100000000000000
WAVES,0.002000000000000
WINGS,6.800000000000000
WPR,26.500000000000000
WTC,0.300000000000000
XEM,4.000000000000000
XLM,0.010000000000000
XMR,0.040000000000000
XRP,0.250000000000000
XVG,0.100000000000000
XZC,0.020000000000000
YOYOW,33.000000000000000
ZEC,0.005000000000000
ZIL,100.000000000000000
ZRX,3.700000000000000
